,condition1,condition2,timepoint_1,iptg_1,cuminic_acid_1,vanillic_acid_1,xylose_1,timepoint_2,iptg_2,cuminic_acid_2,vanillic_acid_2,xylose_2,comparison
129,"18, 0, 0, 0, 0","5, 1, 1, 0, 0",5,1,1,0,0,18,0,0,0,0,0.021875
130,"5, 1, 1, 0, 0","18, 0, 0, 0, 1",5,1,1,0,0,18,0,0,0,1,0.020876826722338204
131,"18, 0, 0, 0, 1","5, 1, 1, 0, 0",5,1,1,0,0,18,0,0,0,1,0.020876826722338204
132,"5, 1, 1, 0, 0","18, 0, 0, 1, 0",5,1,1,0,0,18,0,0,1,0,0.02
133,"18, 0, 0, 1, 0","5, 1, 1, 0, 0",5,1,1,0,0,18,0,0,1,0,0.02
134,"5, 1, 1, 0, 0","18, 0, 1, 0, 0",5,1,1,0,0,18,0,1,0,0,0.019762845849802372
135,"18, 0, 1, 0, 0","5, 1, 1, 0, 0",5,1,1,0,0,18,0,1,0,0,0.019762845849802372
136,"5, 1, 1, 0, 0","18, 1, 0, 0, 0",5,1,1,0,0,18,1,0,0,0,0.022821576763485476
137,"18, 1, 0, 0, 0","5, 1, 1, 0, 0",5,1,1,0,0,18,1,0,0,0,0.022821576763485476
138,"5, 1, 1, 0, 0","18, 1, 1, 0, 0",5,1,1,0,0,18,1,1,0,0,0.020242914979757085
139,"18, 1, 1, 0, 0","5, 1, 1, 0, 0",5,1,1,0,0,18,1,1,0,0,0.020242914979757085
140,"18, 0, 0, 0, 0","18, 0, 0, 0, 0",18,0,0,0,0,18,0,0,0,0,1.0
142,"18, 0, 0, 0, 0","18, 0, 0, 0, 1",18,0,0,0,0,18,0,0,0,1,0.5714285714285714
143,"18, 0, 0, 0, 1","18, 0, 0, 0, 0",18,0,0,0,0,18,0,0,0,1,0.5714285714285714
144,"18, 0, 0, 0, 0","18, 0, 0, 1, 0",18,0,0,0,0,18,0,0,1,0,0.7046450482033304
145,"18, 0, 0, 1, 0","18, 0, 0, 0, 0",18,0,0,0,0,18,0,0,1,0,0.7046450482033304
146,"18, 0, 0, 0, 0","18, 0, 1, 0, 0",18,0,0,0,0,18,0,1,0,0,0.7442067736185384
147,"18, 0, 1, 0, 0","18, 0, 0, 0, 0",18,0,0,0,0,18,0,1,0,0,0.7442067736185384
148,"18, 0, 0, 0, 0","18, 1, 0, 0, 0",18,0,0,0,0,18,1,0,0,0,0.7629151291512916
149,"18, 1, 0, 0, 0","18, 0, 0, 0, 0",18,0,0,0,0,18,1,0,0,0,0.7629151291512916
150,"18, 0, 0, 0, 0","18, 1, 1, 0, 0",18,0,0,0,0,18,1,1,0,0,0.788159111933395
151,"18, 1, 1, 0, 0","18, 0, 0, 0, 0",18,0,0,0,0,18,1,1,0,0,0.788159111933395
152,"18, 0, 0, 0, 1","18, 0, 0, 0, 1",18,0,0,0,1,18,0,0,0,1,1.0
154,"18, 0, 0, 0, 1","18, 0, 0, 1, 0",18,0,0,0,1,18,0,0,1,0,0.5498802873104549
155,"18, 0, 0, 1, 0","18, 0, 0, 0, 1",18,0,0,0,1,18,0,0,1,0,0.5498802873104549
156,"18, 0, 0, 0, 1","18, 0, 1, 0, 0",18,0,0,0,1,18,0,1,0,0,0.5532591414944356
157,"18, 0, 1, 0, 0","18, 0, 0, 0, 1",18,0,0,0,1,18,0,1,0,0,0.5532591414944356
158,"18, 0, 0, 0, 1","18, 1, 0, 0, 0",18,0,0,0,1,18,1,0,0,0,0.5399515738498789
159,"18, 1, 0, 0, 0","18, 0, 0, 0, 1",18,0,0,0,1,18,1,0,0,0,0.5399515738498789
160,"18, 0, 0, 0, 1","18, 1, 1, 0, 0",18,0,0,0,1,18,1,1,0,0,0.5589660743134087
161,"18, 1, 1, 0, 0","18, 0, 0, 0, 1",18,0,0,0,1,18,1,1,0,0,0.5589660743134087
162,"18, 0, 0, 1, 0","18, 0, 0, 1, 0",18,0,0,1,0,18,0,0,1,0,1.0
164,"18, 0, 0, 1, 0","18, 0, 1, 0, 0",18,0,0,1,0,18,0,1,0,0,0.6675020885547202
165,"18, 0, 1, 0, 0","18, 0, 0, 1, 0",18,0,0,1,0,18,0,1,0,0,0.6675020885547202
166,"18, 0, 0, 1, 0","18, 1, 0, 0, 0",18,0,0,1,0,18,1,0,0,0,0.7317939609236235
167,"18, 1, 0, 0, 0","18, 0, 0, 1, 0",18,0,0,1,0,18,1,0,0,0,0.7317939609236235
168,"18, 0, 0, 1, 0","18, 1, 1, 0, 0",18,0,0,1,0,18,1,1,0,0,0.6854700854700855
169,"18, 1, 1, 0, 0","18, 0, 0, 1, 0",18,0,0,1,0,18,1,1,0,0,0.6854700854700855
170,"18, 0, 1, 0, 0","18, 0, 1, 0, 0",18,0,1,0,0,18,0,1,0,0,1.0
172,"18, 0, 1, 0, 0","18, 1, 0, 0, 0",18,0,1,0,0,18,1,0,0,0,0.744
173,"18, 1, 0, 0, 0","18, 0, 1, 0, 0",18,0,1,0,0,18,1,0,0,0,0.744
174,"18, 0, 1, 0, 0","18, 1, 1, 0, 0",18,0,1,0,0,18,1,1,0,0,0.7777777777777778
175,"18, 1, 1, 0, 0","18, 0, 1, 0, 0",18,0,1,0,0,18,1,1,0,0,0.7777777777777778
176,"18, 1, 0, 0, 0","18, 1, 0, 0, 0",18,1,0,0,0,18,1,0,0,0,1.0
178,"18, 1, 0, 0, 0","18, 1, 1, 0, 0",18,1,0,0,0,18,1,1,0,0,0.7443744374437443
179,"18, 1, 1, 0, 0","18, 1, 0, 0, 0",18,1,0,0,0,18,1,1,0,0,0.7443744374437443
180,"18, 1, 1, 0, 0","18, 1, 1, 0, 0",18,1,1,0,0,18,1,1,0,0,1.0
